Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,Percent A Grades,Percent B Grades,Percent C Grades,Percent D Grades,All Other Grades #,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,102,1418,INTRO TO THE AIR FORCE II,N/A,"Williams,Joseph D",15,20,0,3.933,3.208,93.3,6.7,0,0,5,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,152,11789,LLAB II,N/A,"Williams,Jason Patton",49,53,0,3.986,3.38,98,2,0,0,4,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,202,1419,TEAM AND LDRSP FUND II,N/A,"Bofferding,Steven Michael",15,17,0,3.98,3.389,100,0,0,0,2,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,302,1420,LEADING AND COMMUNICATION II,N/A,"Williams,Jason Patton",13,13,0,3.954,3.52,100,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,402,1421,NATL SEC/PREP ACTV DUTY II,N/A,"Bofferding,Steven Michael",9,9,0,4,3.525,100,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,102,2750,FOUNDATIONS IN LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",10,11,0,3.48,3.067,90,0,0,0,2,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,102,2751,FOUNDATIONS IN LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",9,13,0,3.756,3.289,88.9,11.1,0,0,4,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,202,2753,LEADERSHIP IN CHANGING ENVIRON,N/A,"Vargas,Ralph Ruegamer",13,17,0,4,3.476,100,0,0,0,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,202,2754,LEADERSHIP IN CHANGING ENVIRON,N/A,"Vargas,Ralph Ruegamer",8,9,0,4,3.072,100,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,302,2756,LEADERSHIP UNDER FIRE,N/A,"Giordano,Anthony",11,11,0,4,3.389,100,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,302,2757,LEADERSHIP UNDER FIRE,N/A,"Giordano,Anthony",15,15,0,4,3.636,100,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/21
IUBLA,Bloomington,4212,Spring 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,402,2759,LEADERSHIP IN A COMPLEX WORLD,N/A,"Giordano,Anthony",29,29,0,3.848,3.453,86.2,10.3,3.4,0,0,0,24,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/11/21
