Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,APCT,BPCT,CPCT,DPCT,OTHERCNT,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,GER,GER-T,520,13698,GRAMMAR AND WRITING,N/A,"Hutchins,Michael David",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,525,13771,SELF LEADERSHIP,N/A,"Luther,Raymond J",43,46,0,3.728,3.72,67.4,30.2,2.3,0,3,2,25,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,525,13772,SELF LEADERSHIP,N/A,"Luther,Raymond J",44,46,0,3.784,3.699,75,25,0,0,2,0,31,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,525,13985,SELF LEADERSHIP,N/A,"Luther,Raymond J",36,37,100,3.561,3.756,47.2,50,2.8,0,1,2,15,0,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,525,35441,SELF LEADERSHIP,N/A,"Luther,Raymond J",39,41,0,3.751,3.776,66.7,33.3,0,0,2,0,25,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,11146,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",25,25,0,3.668,3.729,80,16,0,0,1,1,14,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,11147,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",39,40,0,3.828,3.733,89.7,10.3,0,0,1,0,28,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,6153,PREDICT ANALYTICS/DATA MINING,N/A,"Khatami,Maryam",28,30,100,3.711,3.611,71.4,25,3.6,0,2,6,12,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,10548,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,11148,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",37,40,0,3.492,3.696,64.9,24.3,10.8,0,3,4,8,12,6,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,9716,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",10,11,100,3.11,3.577,70,0,10,20,1,1,2,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,14459,SIM & OPT FOR BUS ANALYTICS,N/A,"Cutshall,Rex R.",24,26,95.8,3.875,3.76,87.5,12.5,0,0,2,6,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,535,10182,VALUE THRU BUS ANALYTICS APPS,N/A,"Hill,John David",12,14,91.7,3.667,3.751,66.7,33.3,0,0,2,1,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,535,9718,VALUE THRU BUS ANALYTICS APPS,N/A,"Serex,Paul",45,45,0,3.591,3.715,71.1,26.7,0,0,1,2,20,10,4,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,510,11431,DIGITAL ENTERPRISE BUS TECH,N/A,"Kinser,James Eric",29,30,0,3.99,3.726,100,0,0,0,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,514,11273,BUSINESS IN THE DIGITAL FUTURE,N/A,"Barsi Lopes,Alexandre",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/8/23
IUBLA,Bloomington,4235,Summer 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,514,11697,BUSINESS IN THE DIGITAL FUTURE,N/A,"Barsi Lopes,Alexandre",37,38,0,3.689,3.622,81.1,18.9,0,0,1,0,18,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,594,11570,EXP CRSE FOR MBA GLB EXEC TRCK,DIGITAL TRANSFORMATION,"Barsi Lopes,Alexandre",27,27,100,4,3.838,100,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,594,35675,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Lemper,Tim",26,26,100,4,3.814,100,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/8/23
IUBLA,Bloomington,4235,Summer 2023,6W1,Six Week - First,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,595,13802,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Hauskrecht,Andreas",29,29,100,3.403,3.114,72.4,17.2,0,0,3,0,16,5,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9/8/23
