Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,Percent A Grades,Percent B Grades,Percent C Grades,Percent D Grades,All Other Grades #,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,101,1007,INTRO TO THE AIR FORCE I,N/A,"Cunningham,Daniel James",14,18,0,4,3.301,100,0,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,151,11224,AF LLAB I,N/A,"O'Neill,Michael P",37,40,0,4,3.4,100,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,201,1008,TEAM AND LDRSP FUND USAF I,N/A,"Lu,Hsiao-Wei",11,14,0,4,3.4,100,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,301,1009,LEADING AND COMM USAF I,N/A,"O'Neill,Michael P",8,12,0,3.788,3.203,75,25,0,0,4,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,401,1010,NATL SEC PREP ACTV DUTY I,N/A,"Lu,Hsiao-Wei",11,12,0,4,3.552,100,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,101,2398,LEADERSHIP&PERSONAL DEVELOPMNT,N/A,"Vargas,Ralph Ruegamer",27,29,0,3.974,3.281,96.3,3.7,0,0,2,10,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,101,2399,LEADERSHIP&PERSONAL DEVELOPMNT,N/A,"Vargas,Ralph Ruegamer",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,201,2401,INNOVATIVE TACTICAL LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",16,16,0,3.881,3.23,93.8,6.3,0,0,0,7,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,201,2402,INNOVATIVE TACTICAL LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",13,17,0,3.692,3.324,92.3,0,0,0,5,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,301,2405,ADAPTIVE TEAM LEADERSHIP,LEADERSHIP & PROBLEM SOLVING,"Giordano,Anthony",9,9,0,3.756,3.396,88.9,11.1,0,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,301,4095,ADAPTIVE TEAM LEADERSHIP,LEADERSHIP & PROBLEM SOLVING,"Giordano,Anthony",6,7,0,3.9,3.445,100,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,401,2407,DEVELOPING ADAPTIVE LEADERS,LEADERSHIP & MANAGEMENT,"Giordano,Anthony",17,17,0,3.741,3.441,76.5,17.6,5.9,0,0,1,11,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-L,635,35549,RDGS AMER ETHNIC LIT & CLTR,N/A,"Earley,Samantha Manchester",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,6684,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",33,37,100,3.718,3.636,72.7,27.3,0,0,4,0,20,4,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,11566,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Frutiger,Michael Douglas",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,6698,SIM & OPT FOR BUS ANALYTICS,N/A,"Cutshall,Rex R.",12,13,100,3.917,3.795,91.7,8.3,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,510,36688,DIGITAL ENTERPRISE BUS TECH,N/A,"Kinser,James Eric",39,40,0,3.897,3.596,89.7,10.3,0,0,1,0,32,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/20/23
IUBLA,Bloomington,4228,Fall 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,510,36904,DIGITAL ENTERPRISE BUS TECH,N/A,"Kinser,James Eric",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/20/23
IUBLA,Bloomington,4228,Fall 2022,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,514,15293,BUSINESS IN THE DIGITAL FUTURE,N/A,"Collins,Michael R",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/20/23
